Name,State,Address,City,State Zipcode,Contact
Second Harvest Food Bank of Northwest North Carolina,North Carolina,3655 Reed St,Winston-Salem,NC 27107,336-784-5770
MANNA Food Bank,North Carolina,627 Swannanoa River Rd,Asheville,NC 28805,828-299-3663
Great Plains Food Bank,North Dakota,1720 3rd Ave N,Fargo,ND 58102,701-232-6219
Foodbank of the Virginia Peninsula,Ohio,2401 Aluminum Ave,Hampton,VA 23661,757-596-7188
Greater Cleveland Food Bank,Ohio,15500 S Waterloo Rd,Cleveland,OH 44110,216-738-2000
Mid-Ohio Food Collective,Ohio,3960 Brookham Dr,Grove City,OH 43123,614-274-7770
Regional Food Distribution Association,Oklahoma,3355 S Purdue Ave,Oklahoma City,OK 73179,405-972-1111
Community Food Bank of Eastern Oklahoma,Oklahoma,1304 N Kenosha Ave,Tulsa,OK 74106,918-585-2800
Oregon Food Bank,Oregon,7900 NE 33rd Dr,Portland,OR 97211,503-282-0555
Feeding Pennsylvania,Pennsylvania,902 Packer St,Sunbury,PA 17801,570-286-3201
Philabundance,Pennsylvania,3616 S Galloway St,Philadelphia,PA 19148,215-339-0900
Greater Pittsburgh Community Food Bank,Pennsylvania,1 N Linden St,Duquesne,PA 15110,412-460-3663
Rhode Island Community Food Bank,Rhode Island,200 Niantic Ave,Providence,RI 02907,401-941-6300
Harvest Hope Food Bank,South Carolina,2220 Shop Rd,Columbia,SC 29201,803-799-6670
Lowcountry Food Bank,South Carolina,2864 Azalea Dr,North Charleston,SC 29405,843-747-8000
Feeding the Gulf Coast,South Carolina,5248 Mobile South St,Theodore,AL 36582,251-653-1617
Feeding South Dakota,South Dakota,4721 E 52nd St N,Sioux Falls,SD 57104,605-335-0364
Second Harvest Food Bank of Middle Tennessee,Tennessee,331 Great Circle Rd,Nashville,TN 37228,615-329-3411
Mid-South Food Bank,Tennessee,3865 S Perkins Rd,Memphis,TN 38118,901-527-0841
Chattanooga Area Food Bank,Tennessee,2009 Curtain Pole Rd,Chattanooga,TN 37406,423-622-1800
Feeding Texas,Texas,6500 Metropolis Dr Ste 100,Austin,TX 78744,512-527-3663
Houston Food Bank,Texas,535 Portwall St,Houston,TX 77029,713-547-8600
North Texas Food Bank,Texas,4500 S Cockrell Hill Rd,Dallas,TX 75236,214-330-1396
San Antonio Food Bank,Texas,5200 Enrique M. Barrera Pkwy,San Antonio,TX 78207,210-337-3663
Utah Food Bank,Utah,3150 S 900 W,Salt Lake City,UT 84119,801-978-1234
Vermont Foodbank,Vermont,33 Parker Rd,Barre,VT 05641,802-476-3341
Blue Ridge Area Food Bank,Virginia,573 Moores Creek Ln,Verona,VA 24482,540-248-3663
Feed More,Virginia,3636 S Shannon Ave,Richmond,VA 23234,804-521-2500
Food Lifeline,Washington,815 S 96th St,Seattle,WA 98108,206-767-5000
Second Harvest,Washington,1234 E Trent Ave,Spokane,WA 99202,509-535-6652
Mountaineer Food Bank,West Virginia,484 Wilson Ave,Gassaway,WV 26624,304-364-5518
Feeding America Eastern Wisconsin,Wisconsin,1700 W Fond du Lac Ave,Milwaukee,WI 53205,414-931-7400
Second Harvest Foodbank of Southern Wisconsin,Wisconsin,2802 Dairy Dr,Madison,WI 53718,608-221-3333
Food Bank of Wyoming,Wyoming,4120 Burling Dr,Mills,WY 82604,307-265-2172
